"predictor","age1","age2","correlation"
"LD","29","16",0.950607204058074
"LD","29","17",0.956440531805778
"LD","29","18",0.963542478200948
"LD","29","19",0.969743306110736
"LD","29","20",0.97503893140525
"LD","29","21",0.980092479802748
"LD","29","22",0.984415915127657
"LD","29","23",0.98805925809752
"LD","29","24",0.992782366873231
"LD","29","25",0.995248216438354
"LD","29","26",0.996736617262972
"LD","29","27",0.99827223077285
"LD","29","28",0.999302774517508
"LD","29","29",1
"LD","29","30",0.999505950957995
"LD","30","16",0.94667800945932
"LD","30","17",0.952639228786007
"LD","30","18",0.959984411795157
"LD","30","19",0.966567611739652
"LD","30","20",0.972066241181415
"LD","30","21",0.977466834947629
"LD","30","22",0.981977946833983
"LD","30","23",0.985909580632086
"LD","30","24",0.990797301116754
"LD","30","25",0.993653524146892
"LD","30","26",0.995466892697403
"LD","30","27",0.99719966456211
"LD","30","28",0.998476545559222
"LD","30","29",0.999505950957995
"LD","30","30",1
"DD","16","16",1
"DD","16","17",0.999570536011369
"DD","16","18",0.998827089022669
"DD","16","19",0.997791884653082
"DD","16","20",0.99638620037901
"DD","16","21",0.995087813942516
"DD","16","22",0.9935894566243
"DD","16","23",0.991922416144708
"DD","16","24",0.991881074878185
"DD","16","25",0.990827530802789
"DD","16","26",0.989739734335082
"DD","16","27",0.988794483212102
"DD","16","28",0.987666873610514
"DD","16","29",0.986544017901064
"DD","16","30",0.984814602898835
"DD","17","16",0.999570536011369
"DD","17","17",1
"DD","17","18",0.999614564807378
"DD","17","19",0.999083957982286
"DD","17","20",0.998113877386105
"DD","17","21",0.997112038046244
"DD","17","22",0.995895050009692
"DD","17","23",0.994475268592801
"DD","17","24",0.994064120615014
"DD","17","25",0.993093400138087
"DD","17","26",0.992048227124038
"DD","17","27",0.991157029868082
"DD","17","28",0.989993849427732
"DD","17","29",0.988878592343289
"DD","17","30",0.987195043481627
"DD","18","16",0.998827089022669
"DD","18","17",0.999614564807378
"DD","18","18",1
"DD","18","19",0.999661138265997
"DD","18","20",0.998766146152973
"DD","18","21",0.997875074065886
"DD","18","22",0.996779107353249
"DD","18","23",0.995455097575744
"DD","18","24",0.995080983636982
"DD","18","25",0.994101407780899
"DD","18","26",0.993056886309987
"DD","18","27",0.992148608515814
"DD","18","28",0.990918073193154
"DD","18","29",0.989744050364696
"DD","18","30",0.988087350001164
"DD","19","16",0.997791884653082
"DD","19","17",0.999083957982286
"DD","19","18",0.999661138265997
"DD","19","19",1
"DD","19","20",0.999645666557467
"DD","19","21",0.999108555399889
"DD","19","22",0.998317818526084
"DD","19","23",0.99729135095475
"DD","19","24",0.996669604131475
"DD","19","25",0.995840535944548
"DD","19","26",0.994928883380929
"DD","19","27",0.994146465592143
"DD","19","28",0.992985519724277
"DD","19","29",0.991909776270477
"DD","19","30",0.990361447382858
"DD","20","16",0.99638620037901
"DD","20","17",0.998113877386105
"DD","20","18",0.998766146152973
"DD","20","19",0.999645666557467
"DD","20","20",1
"DD","20","21",0.999811356520552
"DD","20","22",0.999317092506427
"DD","20","23",0.998560362101445
"DD","20","24",0.997725093023613
"DD","20","25",0.997039127992712
"DD","20","26",0.996253344329967
"DD","20","27",0.99558994148693
"DD","20","28",0.994587701798334
"DD","20","29",0.993602255660695
"DD","20","30",0.992160547271863
"DD","21","16",0.995087813942516
"DD","21","17",0.997112038046244
"DD","21","18",0.997875074065886
"DD","21","19",0.999108555399889
"DD","21","20",0.999811356520552
"DD","21","21",1
"DD","21","22",0.999794794670571
"DD","21","23",0.999305389101178
"DD","21","24",0.998415337759678
"DD","21","25",0.997893998750395
"DD","21","26",0.997248053300308
"DD","21","27",0.996697089365021
"DD","21","28",0.995768245501687
"DD","21","29",0.994894782310451
"DD","21","30",0.993574279787811
"DD","22","16",0.9935894566243
"DD","22","17",0.995895050009692
"DD","22","18",0.996779107353249
"DD","22","19",0.998317818526084
"DD","22","20",0.999317092506427
"DD","22","21",0.999794794670571
"DD","22","22",1
"DD","22","23",0.999823960266158
"DD","22","24",0.998956915218836
"DD","22","25",0.998627971381903
"DD","22","26",0.998141416605622
"DD","22","27",0.997704256339898
"DD","22","28",0.996908264865477
"DD","22","29",0.996145570320373
"DD","22","30",0.995002146476349
"DD","23","16",0.991922416144708
"DD","23","17",0.994475268592801
"DD","23","18",0.995455097575744
"DD","23","19",0.99729135095475
"DD","23","20",0.998560362101445
"DD","23","21",0.999305389101178
"DD","23","22",0.999823960266158
"DD","23","23",1
"DD","23","24",0.999153909426218
"DD","23","25",0.999009574718903
"DD","23","26",0.998687055605047
"DD","23","27",0.998365062592207
"DD","23","28",0.997689321951438
"DD","23","29",0.997039762115548
"DD","23","30",0.996055345895993
"DD","24","16",0.991881074878185
"DD","24","17",0.994064120615014
"DD","24","18",0.995080983636982
"DD","24","19",0.996669604131475
"DD","24","20",0.997725093023613
"DD","24","21",0.998415337759678
"DD","24","22",0.998956915218836
"DD","24","23",0.999153909426218
"DD","24","24",1
"DD","24","25",0.999894443550181
"DD","24","26",0.999647271991736
"DD","24","27",0.999340430431719
