Age,Word,C_freq,ld,dd,pkc
16,at,6893,0.744000000, 0.186644196,0.076109166
17,at,7184,0.768000000, 0.195702549,0.084090010
18,at,8047,0.782000000, 0.225826838,0.126446355
19,at,8609,0.796000000, 0.240362334,0.171195319
20,at,9376,0.812000000, 0.261217611,0.188846901
21,at,9907,0.826000000, 0.274067832,0.213326174
22,at,10422,0.836000000, 0.288813988,0.320557629
23,at,10937,0.846000000, 0.303560143,0.362786772
24,at,13097,0.870000000, 0.359595534,0.404530573
25,at,13838,0.882000000, 0.376237624,0.452376148
26,at,14535,0.896000000, 0.390983779,0.536433864
27,at,15267,0.902000000, 0.407204550,0.558777069
28,at,16175,0.908000000, 0.438382136,0.683960840
29,at,17356,0.916000000, 0.460290710,0.628863722
30,at,18423,0.920000000, 0.501158627,0.739270889
16,awake,28,0.084000000, 0.004423847,0.060445308
17,awake,31,0.088000000, 0.005055825,0.062608444
18,awake,37,0.102000000, 0.005898462,0.106180584
19,awake,51,0.124000000, 0.007162418,0.144139138
20,awake,58,0.128000000, 0.008215715,0.167054731
21,awake,70,0.144000000, 0.009690331,0.200738916
22,awake,75,0.148000000, 0.010322309,0.303904494
23,awake,84,0.150000000, 0.011375606,0.354524491
24,awake,96,0.164000000, 0.012428902,0.416199967
25,awake,109,0.176000000, 0.013692859,0.475298124
26,awake,119,0.192000000, 0.014956815,0.541968302
27,awake,129,0.200000000, 0.015799452,0.564301623
28,awake,143,0.222000000, 0.017484727,0.695136975
29,awake,154,0.234000000, 0.019380661,0.646040234
30,awake,160,0.240000000, 0.020223299,0.747281356
16,away,869,0.456000000, 0.067200337,0.073036015
17,away,934,0.476000000, 0.072888140,0.082425511
18,away,1053,0.500000000, 0.083210449,0.131958624
19,away,1256,0.540000000, 0.094164736,0.177620894
20,away,1451,0.574000000, 0.104697704,0.196143097
21,away,1591,0.596000000, 0.114388035,0.223820095
22,away,1808,0.638000000, 0.126816937,0.331640331
23,away,1973,0.658000000, 0.137981883,0.378703272
24,away,2213,0.682000000, 0.161154413,0.423647237
25,away,2422,0.696000000, 0.171476722,0.475987004
26,away,2620,0.708000000, 0.182220350,0.549930556
27,away,2869,0.728000000, 0.194227933,0.573826710
28,away,3101,0.740000000, 0.206867495,0.698183202
29,away,3443,0.760000000, 0.221824310,0.643880188
30,away,3794,0.780000000, 0.241836950,0.748407822
16,back,3035,0.628000000, 0.140720455,0.076178495
17,back,3260,0.644000000, 0.149778808,0.087713149
18,back,3684,0.668000000, 0.172740678,0.142126006
19,back,4097,0.708000000, 0.188961449,0.187006892
20,back,4622,0.720000000, 0.209184748,0.208184013
21,back,5077,0.744000000, 0.225826838,0.235807188
22,back,5499,0.758000000, 0.241204972,0.346372751
23,back,5948,0.772000000, 0.257215083,0.395699401
